TX,TY,TZ,FX_0,FY_0,FZ,flow_speed,vegetation_layout
-0.0139452525,-0.0785524247,0.0055765589,0.2405150674,-0.0337137205,0.1101999121,0.1000000000,1000001000000000000000000100000000001
-0.0144466568,-0.3948351654,0.0000175036,0.9162881161,-0.0603630872,-2.5043698410,0.2000000000,1000001000000000000000000100000000001
0.1041721024,-0.5985781047,0.0133402656,1.4780387281,-0.2114351592,0.0414925178,0.3000000000,1000001000000000000000000100000000001
0.1497750377,-1.0144964368,0.0172646227,2.5420574545,-0.2673585922,0.1598896429,0.4000000000,1000001000000000000000000100000000001
0.1055635744,-0.0523195967,-0.0108142980,0.1729355483,-0.0563827256,-0.6379266508,0.1000000000,0001000000000100000000001000000001000
0.2120081630,-0.1409269879,0.0078339438,0.7809108265,-0.0767394201,-0.1434553072,0.2000000000,0001000000000100000000001000000001000
0.4160171703,-0.2599213786,0.0108904865,1.2946090614,0.0182414361,0.1595832852,0.3000000000,0001000000000100000000001000000001000
0.6084292711,-0.5041581594,0.0004570202,2.0941718945,-0.4217417160,0.1697339353,0.4000000000,0001000000000100000000001000000001000
0.0583317809,0.0123911196,-0.0162076502,0.0702377554,-0.2027119047,-0.4095458209,0.1000000000,0000000000000001010001000010000000000
0.1826911060,0.1310302739,-0.0036961636,0.6574366046,-0.0525016828,-0.0643341654,0.2000000000,0000000000000001010001000010000000000
0.4055611955,0.2672870911,-0.0109571608,1.4082846161,-0.2025197422,-0.1388965601,0.3000000000,0000000000000001010001000010000000000
0.7134746196,0.4527380842,-0.0282352537,2.4918693378,-0.3187029665,0.0097346224,0.4000000000,0000000000000001010001000010000000000
-0.1300264376,0.1615702888,-0.0244603116,-0.0214401224,-0.2781313211,1.2461066170,0.1000000000,1000000000010000000000000000001000001
-0.0542766951,0.1957031991,-0.0003998794,0.5180683631,0.0377860472,0.4150004077,0.2000000000,1000000000010000000000000000001000001
-0.0467363271,0.3175944809,-0.0015468976,1.0768110588,-0.0100510429,0.3497619134,0.3000000000,1000000000010000000000000000001000001
0.1076008140,0.5629715170,-0.0218005470,1.8666978592,-0.4754070409,-0.2485060205,0.4000000000,1000000000010000000000000000001000001
-0.1059276781,0.0358312884,-0.0294369362,0.2531569067,-0.2052578591,0.4294986688,0.1000000000,0001000000001000000000010000000001000
-0.3148460679,0.1588086371,-0.0083271178,0.9493117874,0.0677161805,0.7607266882,0.2000000000,0001000000001000000000010000000001000
-0.6443490124,0.3376868815,-0.0256513470,2.2401840880,0.0840497698,1.0403147323,0.3000000000,0001000000001000000000010000000001000
-1.0730699332,0.5493882683,-0.0285663344,3.8816011980,0.1048909210,0.9004276078,0.4000000000,0001000000001000000000010000000001000
-0.0613242417,-0.0555829969,-0.0195434402,0.1314268713,-0.3381350998,0.0574757227,0.1000000000,0000000000100001000101000000000000000
-0.1625507670,-0.0039749278,0.0076305396,0.6198311686,-0.0990211734,0.6371768991,0.2000000000,0000000000100001000101000000000000000
-0.2752462184,-0.0439744713,0.0100844739,1.1831374986,-0.1711069513,0.5792645611,0.3000000000,0000000000100001000101000000000000000
-0.5185757119,-0.0962925825,-0.0229568328,1.9546808826,-0.5379689389,0.5169833217,0.4000000000,0000000000100001000101000000000000000
0.0435140143,-0.0577825295,-0.0004465527,0.2199326218,0.0140145673,0.4509636256,0.1000000000,1000100000000000000001000000000000001
0.0532654560,-0.2423711762,-0.0316944928,0.7619894123,-0.0899175055,-0.9685496275,0.2000000000,1000100000000000000001000000000000001
0.1116537307,-0.5216833998,-0.0707814744,1.5345051655,-0.1948683454,0.7057126550,0.3000000000,1000100000000000000001000000000000001
0.1400993853,-0.9931081614,-0.1363870296,2.5402010294,-0.4268613150,-0.4037444904,0.4000000000,1000100000000000000001000000000000001
0.0745673982,-0.0193975639,-0.0136333252,0.2449534059,-0.2060836055,-0.4614485987,0.1000000000,0011000000000000000000000000000001001
0.2108462608,-0.0832019510,-0.0004223662,0.6260647150,0.0880142410,-0.0383026899,0.2000000000,0011000000000000000000000000000001001
0.4067024176,-0.1798913745,0.0112787243,1.2767141587,0.1285982911,-0.2072630185,0.3000000000,0011000000000000000000000000000001001
0.5956122514,-0.3925839934,-0.0087993843,1.9095679495,-0.1176222056,-0.1641606724,0.4000000000,0011000000000000000000000000000001001
0.0742637704,0.0202405964,-0.0084196783,0.2284272919,-0.0795242374,-0.0520697129,0.1000000000,0000000000000011000001000000000001000
0.2156053812,0.1648493117,0.0272039370,0.8592611401,-0.0642384218,0.0331429685,0.2000000000,0000000000000011000001000000000001000
0.4546257433,0.3189136410,0.0456901348,1.7181783332,-0.2087880136,0.1634029555,0.3000000000,0000000000000011000001000000000001000
0.7913652550,0.5219433885,0.0773316210,2.9707767916,-0.3932921126,-0.0510890216,0.4000000000,0000000000000011000001000000000001000
-0.1328725302,0.1605437451,-0.0136741019,0.0206039280,-0.2990118223,1.7069763305,0.1000000000,1000000000000001000000000000000010001
-0.0341747978,0.1942207208,0.0248476783,0.4524792961,-0.1336497230,0.6409829373,0.2000000000,1000000000000001000000000000000010001
0.0290191891,0.2816498851,0.0544431691,1.0849602200,-0.2295376212,-0.0575456489,0.3000000000,1000000000000001000000000000000010001
0.1728315422,0.5301781337,0.0620254210,1.8187726011,-0.7412336054,-0.2454963982,0.4000000000,1000000000000001000000000000000010001
-0.0810056686,0.0178986101,-0.0247977340,0.2220335912,-0.2352817792,0.2911065402,0.1000000000,1001000000000000000000000000000001100
-0.2535163470,0.1511425692,-0.0051148974,0.7778951076,0.0818511269,0.6288901960,0.2000000000,1001000000000000000000000000000001100
-0.5202434784,0.2890606414,0.0011919127,1.7433322557,0.2109519290,0.7561343697,0.3000000000,1001000000000000000000000000000001100
-0.8823116300,0.4396675446,0.0035504061,3.0840024510,0.3125825698,0.7300426534,0.4000000000,1001000000000000000000000000000001100
-0.0527730365,-0.0747111823,-0.0261757919,0.1107069689,-0.2994739895,-0.0139787518,0.1000000000,0001000000000001000001100000000000000
-0.1576417620,-0.0722787116,-0.0246877241,0.7409522531,-0.0217048937,0.0774369363,0.2000000000,0001000000000001000001100000000000000
-0.2827873726,-0.1682416090,-0.0501948998,1.4185985426,-0.0582713458,0.1374901332,0.3000000000,0001000000000001000001100000000000000
-0.4379505518,-0.4188605555,-0.1166999101,2.2472877935,-0.0028749013,-0.0763399061,0.4000000000,0001000000000001000001100000000000000
0.0532901421,-0.0451972712,0.0644353715,0.1287732437,-0.4564157409,-0.5979970541,0.1000000000,1001000010000000000000000000000000001
0.0376905240,-0.2705910778,-0.0293147288,0.6926306598,-0.0982836046,0.1169737905,0.2000000000,1001000010000000000000000000000000001
0.0802441347,-0.5602538792,-0.0507478630,1.4710739917,-0.2046642029,0.0582266569,0.3000000000,1001000010000000000000000000000000001
0.1271573881,-0.8595809597,-0.0572210116,2.1099025148,-0.1701309716,0.2119430363,0.4000000000,1001000010000000000000000000000000001
0.0838187153,-0.0543566063,-0.0036386234,0.1798361150,-0.1838406719,-0.2494737169,0.1000000000,0001000000000000000001000001000001000
0.4251111987,-0.2613299862,0.0591831232,1.3603344228,-0.0250428476,0.0283177587,0.3000000000,0001000000000000000001000001000001000
0.6207761448,-0.5514366784,0.0604991906,2.1787721979,-0.3684012749,0.0645308353,0.4000000000,0001000000000000000001000001000001000
